# r numerical exact
0.00959189 0.00950031 0.00950033
0.00963878 0.0095463 0.00954632
0.00968566 0.00959229 0.0095923
0.00973255 0.00963827 0.00963829
0.00977943 0.00968425 0.00968426
0.00982632 0.00973022 0.00973024
0.00987321 0.00977619 0.00977621
0.00992009 0.00982216 0.00982217
0.00996698 0.00986812 0.00986814
0.0100139 0.00991408 0.00991409
0.0100608 0.00996003 0.00996005
0.0101076 0.010006 0.010006
0.0101545 0.0100519 0.0100519
0.0102014 0.0100979 0.0100979
0.0102483 0.0101438 0.0101438
0.0102952 0.0101897 0.0101898
0.0103421 0.0102357 0.0102357
0.010389 0.0102816 0.0102816
0.0104359 0.0103275 0.0103275
0.0104828 0.0103734 0.0103735
0.0105297 0.0104194 0.0104194
0.0105766 0.0104653 0.0104653
0.0106235 0.0105112 0.0105112
0.0106703 0.0105571 0.0105571
0.0107172 0.010603 0.010603
0.0107641 0.0106489 0.0106489
0.010811 0.0106948 0.0106948
0.0108579 0.0107407 0.0107407
0.0109048 0.0107865 0.0107866
0.0109517 0.0108324 0.0108324
0.0109986 0.0108783 0.0108783
0.0110455 0.0109242 0.0109242
0.0110924 0.01097 0.0109701
0.0111393 0.0110159 0.0110159
0.0111862 0.0110618 0.0110618
0.0112331 0.0111076 0.0111076
0.01128 0.0111535 0.0111535
0.0113269 0.0111993 0.0111993
0.0113738 0.0112452 0.0112452
0.0114207 0.011291 0.011291
0.0114676 0.0113368 0.0113369
0.0115145 0.0113827 0.0113827
0.0115614 0.0114285 0.0114285
0.0116083 0.0114743 0.0114744
0.0116552 0.0115202 0.0115202
0.0117021 0.011566 0.011566
0.011749 0.0116118 0.0116118
0.0117959 0.0116576 0.0116576
0.0118428 0.0117034 0.0117034
0.0118898 0.0117492 0.0117492
0.0119367 0.011795 0.011795
0.0119836 0.0118408 0.0118408
0.0120305 0.0118866 0.0118866
0.0120774 0.0119324 0.0119324
0.0121243 0.0119782 0.0119782
0.0121712 0.0120239 0.012024
0.0122181 0.0120697 0.0120697
0.012265 0.0121155 0.0121155
0.0123119 0.0121613 0.0121613
0.0123588 0.012207 0.012207
0.0124058 0.0122528 0.0122528
0.0124527 0.0122985 0.0122986
0.0124996 0.0123443 0.0123443
0.0125465 0.01239 0.0123901
0.0125934 0.0124358 0.0124358
0.0126403 0.0124815 0.0124815
0.0126872 0.0125273 0.0125273
0.0127341 0.012573 0.012573
0.0127811 0.0126187 0.0126187
0.012828 0.0126645 0.0126645
0.0128749 0.0127102 0.0127102
0.0129218 0.0127559 0.0127559
0.0129687 0.0128016 0.0128016
0.0130156 0.0128473 0.0128473
0.0130626 0.012893 0.012893
0.0131095 0.0129387 0.0129387
0.0131564 0.0129844 0.0129844
0.0132033 0.0130301 0.0130301
0.0132502 0.0130758 0.0130758
0.0132972 0.0131215 0.0131215
0.0133441 0.0131672 0.0131672
0.013391 0.0132129 0.0132129
0.0134379 0.0132585 0.0132586
0.0134848 0.0133042 0.0133042
0.0135318 0.0133499 0.0133499
0.0135787 0.0133955 0.0133956
0.0136256 0.0134412 0.0134412
0.0136725 0.0134869 0.0134869
0.0137195 0.0135325 0.0135325
0.0137664 0.0135782 0.0135782
0.0138133 0.0136238 0.0136238
0.0138602 0.0136694 0.0136695
0.0139072 0.0137151 0.0137151
0.0139541 0.0137607 0.0137607
0.014001 0.0138063 0.0138064
0.014048 0.013852 0.013852
0.0140949 0.0138976 0.0138976
0.0141418 0.0139432 0.0139432
0.0141887 0.0139888 0.0139888
0.0142357 0.0140344 0.0140345
0.0142826 0.01408 0.0140801
0.0143295 0.0141256 0.0141257
0.0143765 0.0141712 0.0141713
0.0144234 0.0142168 0.0142169
0.0144703 0.0142624 0.0142625
0.0145173 0.014308 0.014308
0.0145642 0.0143536 0.0143536
0.0146111 0.0143992 0.0143992
0.0146581 0.0144448 0.0144448
0.014705 0.0144903 0.0144904
0.0147519 0.0145359 0.0145359
0.0147989 0.0145815 0.0145815
0.0148458 0.014627 0.014627
0.0148928 0.0146726 0.0146726
0.0149397 0.0147181 0.0147182
0.0149866 0.0147637 0.0147637
0.0150336 0.0148092 0.0148093
0.0150805 0.0148548 0.0148548
0.0151275 0.0149003 0.0149003
0.0151744 0.0149458 0.0149459
0.0152213 0.0149914 0.0149914
0.0152683 0.0150369 0.0150369
0.0153152 0.0150824 0.0150824
0.0153622 0.0151279 0.015128
0.0154091 0.0151735 0.0151735
0.015456 0.015219 0.015219
0.015503 0.0152645 0.0152645
0.0155499 0.01531 0.01531
0.0155969 0.0153555 0.0153555
0.0156438 0.015401 0.015401
0.0156908 0.0154465 0.0154465
0.0157377 0.015492 0.015492
0.0157847 0.0155374 0.0155375
0.0158316 0.0155829 0.015583
0.0158786 0.0156284 0.0156284
0.0159255 0.0156739 0.0156739
0.0159725 0.0157194 0.0157194
0.0160194 0.0157648 0.0157648
0.0160664 0.0158103 0.0158103
0.0161133 0.0158557 0.0158558
0.0161603 0.0159012 0.0159012
0.0162072 0.0159466 0.0159467
0.0162542 0.0159921 0.0159921
0.0163011 0.0160375 0.0160376
0.0163481 0.016083 0.016083
0.016395 0.0161284 0.0161284
0.016442 0.0161738 0.0161739
0.016489 0.0162193 0.0162193
0.0165359 0.0162647 0.0162647
0.0165829 0.0163101 0.0163101
0.0166298 0.0163555 0.0163556
0.0166768 0.0164009 0.016401
0.0167237 0.0164464 0.0164464
0.0167707 0.0164918 0.0164918
0.0168177 0.0165372 0.0165372
0.0168646 0.0165826 0.0165826
0.0169116 0.016628 0.016628
0.0169585 0.0166733 0.0166734
0.0170055 0.0167187 0.0167188
0.0170525 0.0167641 0.0167641
0.0170994 0.0168095 0.0168095
0.0171464 0.0168549 0.0168549
0.0171933 0.0169002 0.0169003
0.0172403 0.0169456 0.0169456
0.0172873 0.016991 0.016991
0.0173342 0.0170363 0.0170364
0.0173812 0.0170817 0.0170817
0.0174282 0.017127 0.0171271
0.0174751 0.0171724 0.0171724
0.0175221 0.0172177 0.0172178
0.0175691 0.0172631 0.0172631
0.017616 0.0173084 0.0173084
0.017663 0.0173537 0.0173538
0.01771 0.0173991 0.0173991
0.017757 0.0174444 0.0174444
0.0178039 0.0174897 0.0174898
0.0178509 0.017535 0.0175351
0.0178979 0.0175804 0.0175804
0.0179448 0.0176257 0.0176257
0.0179918 0.017671 0.017671
0.0180388 0.0177163 0.0177163
0.0180858 0.0177616 0.0177616
0.0181327 0.0178069 0.0178069
0.0181797 0.0178522 0.0178522
0.0182267 0.0178975 0.0178975
0.0182737 0.0179427 0.0179428
0.0183206 0.017988 0.0179881
0.0183676 0.0180333 0.0180333
0.0184146 0.0180786 0.0180786
0.0184616 0.0181238 0.0181239
0.0185086 0.0181691 0.0181691
0.0185555 0.0182144 0.0182144
0.0186025 0.0182596 0.0182597
0.0186495 0.0183049 0.0183049
0.0186965 0.0183501 0.0183502
0.0187435 0.0183954 0.0183954
0.0187904 0.0184406 0.0184407
0.0188374 0.0184859 0.0184859
0.0188844 0.0185311 0.0185311
0.0189314 0.0185763 0.0185764
0.0189784 0.0186216 0.0186216
0.0190254 0.0186668 0.0186668
0.0190723 0.018712 0.018712
0.0191193 0.0187572 0.0187573
0.0191663 0.0188024 0.0188025
0.0192133 0.0188476 0.0188477
0.0192603 0.0188929 0.0188929
0.0193073 0.0189381 0.0189381
0.0193543 0.0189833 0.0189833
0.0194013 0.0190284 0.0190285
0.0194482 0.0190736 0.0190737
0.0194952 0.0191188 0.0191189
0.0195422 0.019164 0.019164
0.0195892 0.0192092 0.0192092
0.0196362 0.0192544 0.0192544
0.0196832 0.0192995 0.0192996
0.0197302 0.0193447 0.0193447
0.0197772 0.0193899 0.0193899
0.0198242 0.019435 0.0194351
0.0198712 0.0194802 0.0194802
0.0199182 0.0195253 0.0195254
0.0199652 0.0195705 0.0195705
0.0200122 0.0196156 0.0196157
0.0200592 0.0196608 0.0196608
0.0201062 0.0197059 0.0197059
0.0201532 0.0197511 0.0197511
0.0202002 0.0197962 0.0197962
0.0202472 0.0198413 0.0198413
0.0202942 0.0198864 0.0198865
0.0203412 0.0199316 0.0199316
0.0203882 0.0199767 0.0199767
0.0204352 0.0200218 0.0200218
0.0204822 0.0200669 0.0200669
0.0205292 0.020112 0.020112
0.0205762 0.0201571 0.0201571
0.0206232 0.0202022 0.0202022
0.0206702 0.0202473 0.0202473
0.0207172 0.0202924 0.0202924
0.0207642 0.0203375 0.0203375
0.0208112 0.0203825 0.0203826
0.0208582 0.0204276 0.0204277
0.0209052 0.0204727 0.0204727
0.0209522 0.0205178 0.0205178
0.0209992 0.0205628 0.0205629
0.0210462 0.0206079 0.0206079
0.0210933 0.020653 0.020653
0.0211403 0.020698 0.020698
0.0211873 0.0207431 0.0207431
0.0212343 0.0207881 0.0207881
0.0212813 0.0208332 0.0208332
0.0213283 0.0208782 0.0208782
0.0213753 0.0209232 0.0209233
0.0214223 0.0209683 0.0209683
0.0214693 0.0210133 0.0210133
0.0215164 0.0210583 0.0210584
0.0215634 0.0211033 0.0211034
0.0216104 0.0211484 0.0211484
0.0216574 0.0211934 0.0211934
0.0217044 0.0212384 0.0212384
0.0217514 0.0212834 0.0212834
0.0217985 0.0213284 0.0213284
0.0218455 0.0213734 0.0213734
0.0218925 0.0214184 0.0214184
0.0219395 0.0214634 0.0214634
0.0219865 0.0215084 0.0215084
0.0220336 0.0215534 0.0215534
0.0220806 0.0215983 0.0215984
0.0221276 0.0216433 0.0216434
0.0221746 0.0216883 0.0216883
0.0222217 0.0217333 0.0217333
0.0222687 0.0217782 0.0217783
0.0223157 0.0218232 0.0218232
0.0223627 0.0218682 0.0218682
0.0224098 0.0219131 0.0219131
0.0224568 0.0219581 0.0219581
0.0225038 0.022003 0.022003
0.0225508 0.022048 0.022048
0.0225979 0.0220929 0.0220929
0.0226449 0.0221378 0.0221379
0.0226919 0.0221828 0.0221828
0.0227389 0.0222277 0.0222277
0.022786 0.0222726 0.0222726
0.022833 0.0223175 0.0223176
0.02288 0.0223625 0.0223625
0.0229271 0.0224074 0.0224074
0.0229741 0.0224523 0.0224523
0.0230211 0.0224972 0.0224972
0.0230682 0.0225421 0.0225421
0.0231152 0.022587 0.022587
0.0231622 0.0226319 0.0226319
0.0232093 0.0226768 0.0226768
0.0232563 0.0227217 0.0227217
0.0233034 0.0227665 0.0227666
0.0233504 0.0228114 0.0228115
0.0233974 0.0228563 0.0228563
0.0234445 0.0229012 0.0229012
0.0234915 0.022946 0.0229461
0.0235385 0.0229909 0.0229909
0.0235856 0.0230358 0.0230358
0.0236326 0.0230806 0.0230807
0.0236797 0.0231255 0.0231255
0.0237267 0.0231703 0.0231704
0.0237737 0.0232152 0.0232152
0.0238208 0.02326 0.0232601
0.0238678 0.0233049 0.0233049
0.0239149 0.0233497 0.0233497
0.0239619 0.0233945 0.0233946
0.024009 0.0234394 0.0234394
0.024056 0.0234842 0.0234842
0.0241031 0.023529 0.023529
0.0241501 0.0235738 0.0235739
0.0241972 0.0236186 0.0236187
0.0242442 0.0236635 0.0236635
0.0242913 0.0237083 0.0237083
0.0243383 0.0237531 0.0237531
0.0243854 0.0237979 0.0237979
0.0244324 0.0238427 0.0238427
0.0244795 0.0238874 0.0238875
0.0245265 0.0239322 0.0239323
0.0245736 0.023977 0.0239771
0.0246206 0.0240218 0.0240218
0.0246677 0.0240666 0.0240666
0.0247147 0.0241114 0.0241114
0.0247618 0.0241561 0.0241562
0.0248088 0.0242009 0.0242009
0.0248559 0.0242456 0.0242457
0.0249029 0.0242904 0.0242904
0.02495 0.0243352 0.0243352
0.0249971 0.0243799 0.0243799
0.0250441 0.0244247 0.0244247
0.0250912 0.0244694 0.0244694
0.0251382 0.0245141 0.0245142
0.0251853 0.0245589 0.0245589
0.0252324 0.0246036 0.0246036
0.0252794 0.0246483 0.0246484
0.0253265 0.0246931 0.0246931
0.0253735 0.0247378 0.0247378
0.0254206 0.0247825 0.0247825
0.0254677 0.0248272 0.0248272
0.0255147 0.0248719 0.024872
0.0255618 0.0249166 0.0249167
0.0256089 0.0249613 0.0249614
0.0256559 0.025006 0.0250061
0.025703 0.0250507 0.0250508
0.0257501 0.0250954 0.0250955
0.0257971 0.0251401 0.0251401
0.0258442 0.0251848 0.0251848
0.0258913 0.0252295 0.0252295
0.0259383 0.0252741 0.0252742
0.0259854 0.0253188 0.0253189
0.0260325 0.0253635 0.0253635
0.0260795 0.0254082 0.0254082
0.0261266 0.0254528 0.0254529
0.0261737 0.0254975 0.0254975
0.0262208 0.0255421 0.0255422
0.0262678 0.0255868 0.0255868
0.0263149 0.0256314 0.0256315
0.026362 0.0256761 0.0256761
0.0264091 0.0257207 0.0257207
0.0264561 0.0257653 0.0257654
0.0265032 0.02581 0.02581
0.0265503 0.0258546 0.0258546
0.0265974 0.0258992 0.0258993
0.0266444 0.0259438 0.0259439
0.0266915 0.0259885 0.0259885
0.0267386 0.0260331 0.0260331
0.0267857 0.0260777 0.0260777
0.0268328 0.0261223 0.0261223
0.0268798 0.0261669 0.0261669
0.0269269 0.0262115 0.0262115
0.026974 0.0262561 0.0262561
0.0270211 0.0263007 0.0263007
0.0270682 0.0263453 0.0263453
0.0271153 0.0263899 0.0263899
0.0271623 0.0264344 0.0264345
0.0272094 0.026479 0.026479
0.0272565 0.0265236 0.0265236
0.0273036 0.0265682 0.0265682
0.0273507 0.0266127 0.0266128
0.0273978 0.0266573 0.0266573
0.0274449 0.0267018 0.0267019
0.0274919 0.0267464 0.0267464
0.027539 0.0267909 0.026791
0.0275861 0.0268355 0.0268355
0.0276332 0.02688 0.0268801
0.0276803 0.0269246 0.0269246
0.0277274 0.0269691 0.0269691
0.0277745 0.0270136 0.0270137
0.0278216 0.0270582 0.0270582
0.0278687 0.0271027 0.0271027
0.0279158 0.0271472 0.0271473
0.0279629 0.0271917 0.0271918
0.02801 0.0272362 0.0272363
0.0280571 0.0272808 0.0272808
0.0281042 0.0273253 0.0273253
0.0281512 0.0273698 0.0273698
0.0281983 0.0274143 0.0274143
0.0282454 0.0274588 0.0274588
0.0282925 0.0275033 0.0275033
0.0283396 0.0275477 0.0275478
0.0283867 0.0275922 0.0275923
0.0284338 0.0276367 0.0276367
0.0284809 0.0276812 0.0276812
0.028528 0.0277257 0.0277257
0.0285751 0.0277701 0.0277702
0.0286223 0.0278146 0.0278146
0.0286694 0.0278591 0.0278591
0.0287165 0.0279035 0.0279036
0.0287636 0.027948 0.027948
0.0288107 0.0279924 0.0279925
0.0288578 0.0280369 0.0280369
0.0289049 0.0280813 0.0280814
0.028952 0.0281257 0.0281258
0.0289991 0.0281702 0.0281702
0.0290462 0.0282146 0.0282147
0.0290933 0.028259 0.0282591
0.0291404 0.0283035 0.0283035
0.0291875 0.0283479 0.0283479
0.0292346 0.0283923 0.0283924
0.0292818 0.0284367 0.0284368
0.0293289 0.0284811 0.0284812
0.029376 0.0285255 0.0285256
0.0294231 0.0285699 0.02857
0.0294702 0.0286143 0.0286144
0.0295173 0.0286587 0.0286588
0.0295644 0.0287031 0.0287032
0.0296116 0.0287475 0.0287476
0.0296587 0.0287919 0.028792
0.0297058 0.0288363 0.0288363
0.0297529 0.0288807 0.0288807
0.0298 0.028925 0.0289251
0.0298471 0.0289694 0.0289695
0.0298943 0.0290138 0.0290138
0.0299414 0.0290581 0.0290582
0.0299885 0.0291025 0.0291025
0.0300356 0.0291469 0.0291469
0.0300827 0.0291912 0.0291913
0.0301299 0.0292356 0.0292356
0.030177 0.0292799 0.0292799
0.0302241 0.0293242 0.0293243
0.0302712 0.0293686 0.0293686
0.0303184 0.0294129 0.029413
0.0303655 0.0294572 0.0294573
0.0304126 0.0295016 0.0295016
0.0304597 0.0295459 0.0295459
0.0305069 0.0295902 0.0295903
0.030554 0.0296345 0.0296346
0.0306011 0.0296788 0.0296789
0.0306483 0.0297231 0.0297232
0.0306954 0.0297674 0.0297675
0.0307425 0.0298117 0.0298118
0.0307896 0.029856 0.0298561
0.0308368 0.0299003 0.0299004
0.0308839 0.0299446 0.0299447
0.030931 0.0299889 0.029989
0.0309782 0.0300332 0.0300332
0.0310253 0.0300775 0.0300775
0.0310724 0.0301217 0.0301218
0.0311196 0.030166 0.0301661
0.0311667 0.0302103 0.0302103
0.0312138 0.0302545 0.0302546
0.031261 0.0302988 0.0302989
0.0313081 0.0303431 0.0303431
0.0313553 0.0303873 0.0303874
0.0314024 0.0304316 0.0304316
0.0314495 0.0304758 0.0304759
0.0314967 0.0305201 0.0305201
0.0315438 0.0305643 0.0305643
0.031591 0.0306085 0.0306086
0.0316381 0.0306528 0.0306528
0.0316852 0.030697 0.030697
0.0317324 0.0307412 0.0307413
0.0317795 0.0307854 0.0307855
0.0318267 0.0308296 0.0308297
0.0318738 0.0308739 0.0308739
0.031921 0.0309181 0.0309181
0.0319681 0.0309623 0.0309623
0.0320153 0.0310065 0.0310065
0.0320624 0.0310507 0.0310507
0.0321096 0.0310949 0.0310949
0.0321567 0.0311391 0.0311391
0.0322039 0.0311832 0.0311833
0.032251 0.0312274 0.0312275
0.0322982 0.0312716 0.0312716
0.0323453 0.0313158 0.0313158
0.0323925 0.0313599 0.03136
0.0324396 0.0314041 0.0314042
0.0324868 0.0314483 0.0314483
0.0325339 0.0314924 0.0314925
0.0325811 0.0315366 0.0315366
0.0326282 0.0315808 0.0315808
0.0326754 0.0316249 0.0316249
0.0327225 0.031669 0.0316691
0.0327697 0.0317132 0.0317132
0.0328168 0.0317573 0.0317574
0.032864 0.0318015 0.0318015
0.0329112 0.0318456 0.0318456
0.0329583 0.0318897 0.0318898
0.0330055 0.0319339 0.0319339
0.0330526 0.031978 0.031978
0.0330998 0.0320221 0.0320221
0.033147 0.0320662 0.0320662
0.0331941 0.0321103 0.0321104
0.0332413 0.0321544 0.0321545
0.0332884 0.0321985 0.0321986
0.0333356 0.0322426 0.0322427
0.0333828 0.0322867 0.0322868
0.0334299 0.0323308 0.0323309
0.0334771 0.0323749 0.0323749
0.0335243 0.032419 0.032419
0.0335714 0.0324631 0.0324631
0.0336186 0.0325071 0.0325072
0.0336658 0.0325512 0.0325513
0.0337129 0.0325953 0.0325953
0.0337601 0.0326393 0.0326394
0.0338073 0.0326834 0.0326835
0.0338545 0.0327275 0.0327275
0.0339016 0.0327715 0.0327716
0.0339488 0.0328156 0.0328156
0.033996 0.0328596 0.0328597
0.0340431 0.0329037 0.0329037
0.0340903 0.0329477 0.0329478
0.0341375 0.0329917 0.0329918
0.0341847 0.0330358 0.0330358
0.0342318 0.0330798 0.0330798
0.034279 0.0331238 0.0331239
0.0343262 0.0331678 0.0331679
0.0343734 0.0332119 0.0332119
0.0344205 0.0332559 0.0332559
0.0344677 0.0332999 0.0332999
0.0345149 0.0333439 0.0333439
0.0345621 0.0333879 0.033388
0.0346093 0.0334319 0.033432
0.0346564 0.0334759 0.0334759
0.0347036 0.0335199 0.0335199
0.0347508 0.0335639 0.0335639
0.034798 0.0336079 0.0336079
0.0348452 0.0336518 0.0336519
0.0348924 0.0336958 0.0336959
0.0349395 0.0337398 0.0337399
0.0349867 0.0337838 0.0337838
0.0350339 0.0338277 0.0338278
0.0350811 0.0338717 0.0338718
0.0351283 0.0339157 0.0339157
0.0351755 0.0339596 0.0339597
0.0352227 0.0340036 0.0340036
0.0352699 0.0340475 0.0340476
0.035317 0.0340915 0.0340915
0.0353642 0.0341354 0.0341355
0.0354114 0.0341793 0.0341794
0.0354586 0.0342233 0.0342233
0.0355058 0.0342672 0.0342673
0.035553 0.0343111 0.0343112
0.0356002 0.0343551 0.0343551
0.0356474 0.034399 0.034399
0.0356946 0.0344429 0.034443
0.0357418 0.0344868 0.0344869
0.035789 0.0345307 0.0345308
0.0358362 0.0345746 0.0345747
0.0358834 0.0346185 0.0346186
0.0359306 0.0346624 0.0346625
0.0359778 0.0347063 0.0347064
0.036025 0.0347502 0.0347503
0.0360722 0.0347941 0.0347941
0.0361194 0.034838 0.034838
0.0361666 0.0348819 0.0348819
0.0362138 0.0349257 0.0349258
0.036261 0.0349696 0.0349697
0.0363082 0.0350135 0.0350135
0.0363554 0.0350573 0.0350574
0.0364026 0.0351012 0.0351013
0.0364498 0.0351451 0.0351451
0.036497 0.0351889 0.035189
0.0365442 0.0352328 0.0352328
0.0365914 0.0352766 0.0352767
0.0366386 0.0353205 0.0353205
0.0366858 0.0353643 0.0353644
0.036733 0.0354081 0.0354082
0.0367802 0.035452 0.035452
0.0368274 0.0354958 0.0354958
0.0368746 0.0355396 0.0355397
0.0369219 0.0355834 0.0355835
0.0369691 0.0356273 0.0356273
0.0370163 0.0356711 0.0356711
0.0370635 0.0357149 0.0357149
0.0371107 0.0357587 0.0357587
0.0371579 0.0358025 0.0358025
0.0372051 0.0358463 0.0358463
0.0372524 0.0358901 0.0358901
0.0372996 0.0359339 0.0359339
0.0373468 0.0359777 0.0359777
0.037394 0.0360215 0.0360215
0.0374412 0.0360652 0.0360653
0.0374884 0.036109 0.0361091
0.0375357 0.0361528 0.0361528
0.0375829 0.0361966 0.0361966
0.0376301 0.0362403 0.0362404
0.0376773 0.0362841 0.0362841
0.0377245 0.0363279 0.0363279
0.0377718 0.0363716 0.0363717
0.037819 0.0364154 0.0364154
0.0378662 0.0364591 0.0364592
0.0379134 0.0365029 0.0365029
